Sigle,Titre,Credit,url,Prerequisites
MAT 3162,Équations aux dérivées partielles,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3162/,MAT1000 et MAT2115
MAT 3300,Introduction aux variétés différentiables,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3300/,Préalable : MAT2100.
MAT 3363,Topologie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3363/,Préalable : MAT1000
MAT 3450,Introduction à la modélisation mathématique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3450/,MAT1400 ET MAT1600
MAT 3460,Modélisation mathématique spécialisée et appli.,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3460/,
MAT 3632,Théorie des nombres,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3632/,Préalables : MAT1500 ou MAT2600
MAT 3634,Théorie analytique des nombres,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3634/,Préalable : MAT3632.
MAT 3661,Théorie de Galois,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3661/,MAT2600
STT 2000,Échantillonnage,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2000/,
STT 2105,Statistique bayésienne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2105/,Préalable : STT2700 ; Concomitant : MAT2717
STT 2305,Analyse multivariée appliquée,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2305/,
STT 2400,Régression linéaire,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2400/,Préalable : MAT1600; Concomitant : STT2700
STT 2700,Concepts et méthodes en statistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2700/,Préalables : (MAT1720 ou MAT1978) et STT1700
STT 3220,Méthodes de prévision,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3220/,Préalables : STT2400 et STT2700
STT 3260,Modèles de survie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3260/,Préalables : STT2400 et STT2700
STT 3410,Plans et analyses d'expériences,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3410/,Préalables : STT2400 et STT2700
STT 3510,Biostatistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3510/,STT2700
STT 3790,Apprentissage statistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3790/,Préalables : STT2400 et STT2700
STT 3795,Fondements théoriques en science des données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3795/,MAT1400/MAT1600/MAT1720 ou MAT1978
IFT 1025,Programmation 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1025/,IFT1015 ou IFT1016
IFT 1174,"Chiffrier, bases de données et programmation VBA",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1174/,
IFT 1575,Modèles de recherche opérationnelle,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1575/,
IFT 2015,Structures de données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2015/,IFT1025 et IFT1065
IFT 2105,Introduction à l'informatique théorique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2105/,IFT1015 et IFT1065
IFT 2125,Introduction à l'algorithmique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2125/,
IFT 2425,Introduction aux algorithmes numériques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2425/,"IFT1015, MAT1400 et MAT1600"
IFT 2505,Optimisation linéaire,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2505/,MAT1600
IFT 3155,Informatique quantique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3155/,"30 crédits IFT, MAT ou PHY."
IFT 3205,Traitement du signal,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3205/,MAT1400 ET MAT1600; Équivalents: IFT3205/IFT3200
IFT 3245,Simulation et modèles,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3245/,IFT2015 ET (MAT1978 OU MAT1720 OU PHY2215); Équivalents: IFT3245/IFT3240
IFT 3355,Infographie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3355/,IFT2015; Équivalents: IFT3355/IFT3350
IFT 3395,Fondements de l'apprentissage machine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3395/,Préalables : IFT2125 et MAT1600 et (MAT1978 ou (MAT1720 et STT1700)); Équivalents: IFT3395/IFT3390
IFT 3515,Optimisation non linéaire,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3515/,MAT1600
IFT 3545,Graphes et réseaux,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3545/,
IFT 3700,Introduction à la science des données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3700/,IFT2015 ET (MAT1978 OU MAT1720 OU STT1700)
BIO 1203,Introduction à la génétique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bio-1203/,
BIO 1803,Écologie et environnement,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bio-1803/,
BIO 2811,Dynamique des populations,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bio-2811/,BIO1803
BIO 3115,Principes de phylogénie et systématique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bio-3115/,BIO1203; Équivalents:BIO3115/BIO2115
DMO 1000,Introduction à la démographie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-1000/,
DMO 2200,Sources de données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-2200/,
DMO 2311,Analyse longitudinale,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-2311/,
DMO 2312,Analyse transversale,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-2312/,DMO2311
DMO 3307,Pratique de la démographie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-3307/,DMO2311
ECN 1000,Principes d'économie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1000/,
ECN 1040,Introduction à la microéconomie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1040/,ECN1000
ECN 1050,Introduction à la macroéconomie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1050/,
ECN 2040,Théorie microéconomique 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-2040/,ECN1040 ET (ECN1075 OU MAT1400)
ECN 2165,Comptabilité 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-2165/,
GEO 1312,Développement durable et environnement,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/geo-1312/,
GEO 2122,Climatologie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/geo-2122/,18 crédits GEO ou (18 crédits de GEO et BIO et CHM et MAT et MCB et PHY)
GEO 2152,Hydrologie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/geo-2152/,18 crédits GEO ou (18 crédits de GEO et BIO et CHM et MAT)
HOR 1200,Horizon: Risques et défis du XXIe siècle,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/hor-1200/,
PHI 1005,Logique 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1005/,
PHI 1130,Philosophie des sciences,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1130/,
PHI 1300,Philosophie de la connaissance,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1300/,
PHI 2005,Logique 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2005/,
PHY 1441,Électromagnétisme,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phy-1441/,
PHY 1620,Ondes et vibrations,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phy-1620/,PHY1651 ET MAT1600
PHY 1651,Mécanique classique 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phy-1651/,
PHY 1652,Relativité 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phy-1652/,PHY1651
PHY 1972,Comprendre l'Univers,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phy-1972/,
PHY 3131,Mécanique classique 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phy-3131/,PHY1651
PHY 3140,Hydrodynamique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phy-3140/,MAT2466 OU PHY2345
